"METRIC","MODEL","TIMERANGE","MEAN","SD","n"
"LAC","EMv2_3_WBA","AUC EOS
to 1 hr",-15.2015436499018,12.3911433122046,9
"LAC","EMv2_3_WBA","AUC EOS
to 24 hr",-1695.04512735989,204.285625809482,7
"LAC","EMv2_3_WBA","AUC EOS
to 3 hr",-118.924480005158,40.1365593972582,8
"LAC","EMv2_3_WBA","AUC EOS
to 6 hr",-324.437174561907,82.8849824434057,8
"LAC","EMv2_3_WBA","AUC EOS
to EOR",0.0389130678660772,1.42459072277052,9
"LAC","FWB","AUC EOS
to 1 hr",-29.0499994193077,7.00313519662707,17
"LAC","FWB","AUC EOS
to 24 hr",-1992.47006912793,141.003820041808,17
"LAC","FWB","AUC EOS
to 3 hr",-164.458075880679,22.622331607391,17
"LAC","FWB","AUC EOS
to 6 hr",-418.255533175241,35.5336858632291,17
"LAC","FWB","AUC EOS
to EOR",-0.474867369412724,0.561794266746167,17
"LAC","LR","AUC EOS
to 1 hr",2.76689008941029,14.5594638654442,19
"LAC","LR","AUC EOS
to 24 hr",-1056.28290003578,821.578831539746,15
"LAC","LR","AUC EOS
to 3 hr",-33.1933286525232,72.8443185889143,17
"LAC","LR","AUC EOS
to 6 hr",-161.828412771554,153.929027450007,15
"LAC","LR","AUC EOS
to EOR",1.24049187341283,0.914214351663731,20
"LAC","SWB","AUC EOS
to 1 hr",-22.9543999592535,10.1570636728107,13
"LAC","SWB","AUC EOS
to 24 hr",-1964.82247107019,148.526207980278,13
"LAC","SWB","AUC EOS
to 3 hr",-145.454231981642,32.9802203851985,13
"LAC","SWB","AUC EOS
to 6 hr",-388.388004605463,58.4526955889866,13
"LAC","SWB","AUC EOS
to EOR",0.13974722290393,0.873539812746054,11
"LAC","WBA-pHb","AUC EOS
to 1 hr",-7.14150781191624,13.1632524699281,11
"LAC","WBA-pHb","AUC EOS
to 24 hr",-1374.91737173322,498.221073119844,10
"LAC","WBA-pHb","AUC EOS
to 3 hr",-79.1667855265947,52.7542345975674,11
"LAC","WBA-pHb","AUC EOS
to 6 hr",-270.202232460098,122.041095838703,11
"LAC","WBA-pHb","AUC EOS
to EOR",-0.0589060130227901,0.771586539333051,11
"MAP","EMv2_3_WBA","AUC EOS
to 1 hr",67.7090886418445,53.0313814655466,9
"MAP","EMv2_3_WBA","AUC EOS
to 24 hr",877.105565942468,959.004038035306,8
"MAP","EMv2_3_WBA","AUC EOS
to 3 hr",177.324447507745,156.47347103411,8
"MAP","EMv2_3_WBA","AUC EOS
to 6 hr",319.905628650871,297.285836480224,8
"MAP","EMv2_3_WBA","AUC EOS
to EOR",5.13991327354163,4.27375517277852,9
"MAP","FWB","AUC EOS
to 1 hr",50.2017229374238,25.7293058869344,17
"MAP","FWB","AUC EOS
to 24 hr",1327.00986798112,632.145211684503,17
"MAP","FWB","AUC EOS
to 3 hr",145.062251570478,75.2037286405226,17
"MAP","FWB","AUC EOS
to 6 hr",313.939418387308,157.999462796265,17
"MAP","FWB","AUC EOS
to EOR",4.1302897581049,2.38755040317424,17
"MAP","LR","AUC EOS
to 1 hr",30.0145431355438,41.0134382423055,19
"MAP","LR","AUC EOS
to 24 hr",932.041224704232,839.940243202178,15
"MAP","LR","AUC EOS
to 3 hr",82.5006563506861,113.238774265271,17
"MAP","LR","AUC EOS
to 6 hr",190.354904810634,235.320103006519,15
"MAP","LR","AUC EOS
to EOR",2.51093616434959,3.61689086996206,20
"MAP","SWB","AUC EOS
to 1 hr",60.0044735143985,39.7306258790554,13
"MAP","SWB","AUC EOS
to 24 hr",1446.54197316211,1070.1008937379,13
"MAP","SWB","AUC EOS
to 3 hr",185.372858145172,120.983306725773,12
"MAP","SWB","AUC EOS
to 6 hr",362.285922837124,235.766489960136,13
"MAP","SWB","AUC EOS
to EOR",3.8538583943746,3.29812903929238,13
"MAP","WBA-pHb","AUC EOS
to 1 hr",83.4568927654119,55.184966289871,11
"MAP","WBA-pHb","AUC EOS
to 24 hr",1389.16985553802,912.85598377637,9
"MAP","WBA-pHb","AUC EOS
to 3 hr",232.098254026538,159.140872291194,11
"MAP","WBA-pHb","AUC EOS
to 6 hr",455.271208878715,323.17604619725,11
"MAP","WBA-pHb","AUC EOS
to EOR",6.43710109939134,3.98051793850466,11
